CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
CUST000001,0,62,Phone,1,250.0,UPI,Male,6.1148392559464995,3,Grocery,3,Single,1,0,30.11892854792069,1,45.0,29,900.0
CUST000002,1,16,Phone,3,300.0,COD,Male,2.881900964458375,1,Fashion,5,Divorced,4,0,22.512709175514615,8,50.0,10,850.0
CUST000003,1,72,Phone,3,280.0,UPI,Female,0.5010101975336398,4,Grocery,5,Single,1,0,-13.799516225434914,1,38.0,1,950.0
CUST000004,0,32,Phone,1,220.0,COD,Male,4.333468544279223,3,Electronics,2,Divorced,5,1,27.38105930793035,4,42.0,10,880.0
CUST000005,0,28,Phone,3,350.0,UPI,Female,0.8513893139570234,3,Mobile,5,Married,1,0,-15.513370227467718,7,10.0,21,1000.0
CUST000006,0,12,Computer,3,290.0,Credit Card,Female,2.571271683656746,4,Fashion,5,Divorced,4,0,21.729985468492785,2,48.0,9,920.0
CUST000007,0,45,Phone,1,260.0,COD,Male,5.8023236559178715,1,Fashion,5,Married,3,0,31.77068240552199,5,35.0,28,860.0
CUST000008,1,34,Computer,3,240.0,UPI,Male,0.970172162163994,3,Fashion,3,Married,2,0,-5.232107656603471,3,40.0,15,890.0
CUST000009,0,5,Phone,2,18.0,COD,Female,6.795038692670017,1,Grocery,5,Married,1,0,38.913540527994186,6,11.0,15,76.1141069584334
CUST000010,1,68,Phone,2,69.0,Credit Card,Male,0.5286494199393733,3,Electronics,5,Single,2,0,-17.8752336126897,9,4.0,3,333.3544276982284
CUST000011,0,46,Tablet,1,84.0,Credit Card,Female,2.3511790190142667,2,Fashion,5,Divorced,5,0,39.06690045608143,2,10.0,25,142.14414454772967
CUST000012,1,24,Phone,1,58.0,COD,Male,6.056780421140536,3,Fashion,1,Married,3,0,12.223033544993555,5,14.0,5,292.8891354655238
CUST000013,1,65,Phone,3,56.0,UPI,Female,2.872026122969801,4,Mobile,3,Married,3,0,-4.768844204784886,9,7.0,9,293.38395392229563
CUST000014,0,9,Tablet,3,7.0,Debit Card,Female,1.2641929104951015,4,Mobile,2,Single,1,0,-10.63552985042224,8,8.0,26,222.86491045143458
CUST000015,0,55,Phone,2,45.0,COD,Female,3.201754391003209,1,Electronics,1,Divorced,3,0,46.731501730766084,9,1.0,22,418.0593077725213
